"","num","V1.x","V2.x","V3.x","V4.x","V5.x","V6.x","V7.x","V8.x","V9.x","V10.x","V11.x","V12.x","V13.x","V14.x","V15.x","V16.x","V17.x","V18.x","V19.x","V20.x","V21.x","V22.x","V23.x","V24.x","V25.x","V26.x","V27.x","V28.x","V29.x","V30.x","V31.x","V32.x","V33.x","V34.x","V35.x","V36.x","V37.x","V38.x","V39.x","V40.x","AA.x","GA.x","CA.x","TA.x","AG.x","GG.x","CG.x","TG.x","AC.x","GC.x","CC.x","TC.x","AT.x","GT.x","CT.x","TT.x","class.x","V1.y","V2.y","V3.y","V4.y","V5.y","V6.y","V7.y","V8.y","V9.y","V10.y","V11.y","V12.y","V13.y","V14.y","V15.y","V16.y","V17.y","V18.y","V19.y","V20.y","V21.y","V22.y","V23.y","V24.y","V25.y","V26.y","V27.y","V28.y","V29.y","V30.y","V31.y","V32.y","V33.y","V34.y","V35.y","V36.y","V37.y","V38.y","V39.y","V40.y","AA.y","GA.y","CA.y","TA.y","AG.y","GG.y","CG.y","TG.y","AC.y","GC.y","CC.y","TC.y","AT.y","GT.y","CT.y","TT.y","class.y"
"1",1,0.046795391613924,0.102723357371795,0.0815731534090909,0.0151624177631579,0.0942307291666666,0.00536845439189188,0.0100048159246575,0.00423177083333334,0.0316763864436619,-0.0195680803571429,-13.9997646360759,22.6060857371795,3.12069196428571,-14.9511595394737,-8.57409375000001,-1.00203969594595,-4.87424443493151,-4.10557291666667,-13.2708824823944,-0.338058035714289,-1.99685522151895e-05,0.00148205088141026,0.00338993445616883,0.00197948930921053,0.00253379895833333,-0.000434426942567568,0.00264056357020548,0.00295919965277778,-0.000220459727112676,-0.000152055803571428,-0.00325409829905063,0.00344317267628205,0.00439202861201299,-0.00192774753289474,0.00639349895833333,0.00269471157094594,0.00385720740582192,0.000362793402777777,-0.00134950902288733,0.00533062276785714,3,4,4,2,3,3,2,7,2,4,9,7,8,7,8,7,"0",0.0117871637658228,0.0625320112179487,0.0042377637987013,-0.0350872532894737,0.0112057291666667,-0.0515305320945946,-0.0148897046232877,-0.101363020833333,0.0678475132042254,-0.0809841517857143,-10.0934256329114,-12.7988621794872,5.66698863636363,-6.09042763157895,24.6192916666667,17.5025844594595,-17.6447174657534,-19.1072222222222,24.1059771126761,-3.38473214285714,0.00448726878955696,0.00201473998397436,-5.38447646103895e-05,-0.00113120805921053,-3.03010416666661e-05,-0.00154269721283784,-0.000804748073630137,-0.00298451215277778,-0.0010048505721831,-0.00107753794642857,0.000509017207278481,-0.000103385016025643,0.000633614650974025,-0.00123933305921053,0.000717873958333334,-0.0004538120777027,-0.00322198266267123,-0.00705692534722222,0.00611406668133803,-0.00304450223214285,11,2,8,13,1,2,0,4,3,1,4,5,7,3,4,12,"0"
"2",2,-0.0301231210443038,-0.0289673477564103,0.0386713676948052,-0.106243832236842,-0.00939843750000001,0.00372994087837837,-0.040453232020548,0.0486241319444444,0.0272089568661972,-0.0108180803571429,-11.0341159018987,-17.0208693910256,29.0368770292208,-14.6354358552632,-21.8236770833333,17.1831630067568,-3.92727525684931,-12.4946006944444,14.2374097711268,-1.42591517857143,-0.00207654766613924,0.000596704727564101,0.00170099939123377,-0.00307057976973684,0.00519468229166667,-0.000147413429054054,-0.000829189854452055,0.00259309895833333,-0.00402509352992958,0.00135155133928571,-0.0035624375,0.000980543269230768,0.00348727029220779,-0.00734819407894737,2.14958333333311e-05,0.00263888006756757,-0.0044476772260274,0.00604190277777778,-0.00195335299295774,0.000838241071428567,6,6,7,9,4,4,1,5,2,5,2,1,7,5,3,13,"0",0.0747340981012658,-0.0505995192307692,-0.0134223214285714,0.0639766447368421,-0.000440416666666649,-0.0500714527027027,-0.0540827910958904,-0.00879930555555553,0.00106610915492958,0.0282133928571428,9.89397943037975,-1.50706730769231,-13.9824918831169,-7.10990131578948,1.81229166666667,-15.2483614864865,-1.60245719178082,15.6999305555556,-4.89761443661972,-9.72508928571429,0.00190271973892405,-0.00186409014423077,0.00115742958603896,0.00215354523026316,-0.000126126041666666,0.00162267440878378,0.00261481528253425,0.00301470659722222,0.000396443441901408,-0.000586377232142857,0.00201580676424051,0.00339384575320513,-0.000873068790584415,-0.00198689226973684,-0.007042584375,0.00074101224662162,-0.00291834053938356,-0.000162085069444445,-0.00359609352992958,0.00177674776785714,0,1,6,3,8,5,1,7,4,7,4,4,6,8,8,8,"0"
"3",3,-0.00907468354430379,-0.0313564102564103,-0.0145285714285714,0.0611236842105263,-0.0851666666666667,0.0629810810810811,-0.0134013698630137,0.0135666666666667,-0.0431985915492958,0.127528571428571,-3.52259691455696,5.33002804487179,-14.3544541396104,15.1798930921053,-15.20484375,5.36623733108108,-21.0855629280822,-0.865017361111111,-8.67963248239437,19.81015625,-0.00137383722310127,-0.000692676682692308,0.00125840036525974,-0.00245911266447368,-0.000274442708333334,-0.000561386402027028,0.000470246789383561,-0.000153282986111111,-0.00186485233274648,0.00116580133928571,-0.00272946222310127,-0.00580043309294871,0.00257785653409091,0.00145768009868421,-0.002440684375,-0.00152187626689189,-0.00306387136130137,-0.00156402951388889,0.00063614238556338,0.00361792633928572,8,2,4,5,4,3,1,8,4,3,4,12,6,4,5,7,"0",0.101299920886076,-0.00384759615384614,0.0615140422077922,0.0624641447368421,0.0703929166666667,0.00458327702702703,-0.042180051369863,0.00728194444444444,0.0171970950704225,-0.0122616071428572,23.0429113924051,20.9676923076923,3.66584415584416,-1.72815789473684,21.4886666666667,9.72756756756757,16.3195890410959,-0.465,2.1269014084507,4.87714285714285,7.63273338607595e-05,0.000398922676282051,0.00347338737824675,-0.00210558305921053,-0.00229012604166667,0.00158961697635135,0.00111640774828767,7.33003472222224e-05,0.00172278147007042,-0.000143680803571429,0.00267909790348101,0.0096394547275641,0.0029478078327922,0.0051227458881579,0.00423523229166666,0.00551986359797297,-0.00220238163527397,0.001364859375,0.00152237477992958,0.00296337276785714,9,9,9,2,6,6,3,6,2,7,2,3,2,6,7,1,"0"
"4",4,0.00144998022151897,-0.0945644631410256,-0.0248049310064935,0.0723183388157895,0.0173482291666666,-0.0520028293918919,-0.0514919306506849,0.0999255208333333,0.00725790052816901,-0.0759555803571429,-3.84498615506329,-8.67878605769231,6.46819196428571,-3.63013980263158,5.05223958333333,11.4929265202703,-1.30773758561644,10.9830729166667,0.0611245598591549,-15.62109375,-0.000321332278481012,-0.00213417307692308,-0.000104685064935065,4.38026315789472e-05,-0.00242155,0.00015025,0.00215744178082192,0.000974972222222223,0.00046525,-0.00120382142857143,0.000947606803797467,-0.00171846955128205,2.44521103896123e-05,-0.00228988486842105,0.00236222916666667,-0.000449282094594594,0.000923994006849314,0.00335868055555555,-0.00144209947183098,-0.0040871875,2,3,8,7,2,1,1,7,3,2,5,4,10,3,8,14,"0",-0.169505557753164,0.121842908653846,-0.0588076907467533,-0.0166135690789473,0.0346057291666667,0.0213900760135135,0.00633974743150684,0.0305796875,0.0194003301056338,0.0635337053571428,-1.53576147151898,15.0810857371795,15.961682224026,-2.82402138157894,-5.89201041666666,-5.36386402027027,-5.62398758561643,0.620642361111113,2.96441681338028,11.6121205357143,0.000186042523734177,-0.000241445913461538,0.000823582183441559,-0.000980550164473684,-0.000702309375,-0.00104021410472973,-0.000830030607876712,-0.00265060590277778,0.000461425836267605,0.002100640625,-0.00382496914556962,0.0023338766025641,-0.00573084659090909,-0.00318052960526316,-0.000472504166666667,0.00460888006756757,0.000612048801369865,0.00429367361111112,0.00434671742957746,0.00485199107142857,3,6,4,4,7,8,0,5,2,3,4,6,6,4,7,11,"0"
"5",5,0.0343705696202532,-0.00862756410256409,-0.0151840909090909,0.00717894736842106,0.0428983333333333,0.0531101351351351,0.00499897260273974,-0.140538888888889,-0.0186623239436619,0.00172499999999999,-6.06848299050633,7.51031650641026,15.0148640422078,6.07216282894737,-4.56401041666667,16.5343116554054,-3.28933005136986,-12.1731770833333,1.4770576584507,1.58515625,-0.000558762658227848,-6.82628205128209e-05,-0.00216463311688312,-0.000123671052631579,0.00266158333333334,0.00013393918918919,0.0012313595890411,-0.003219625,0.00176668661971831,0.000109821428571429,0.00234936689082278,0.00229062459935897,0.000574739650974026,-0.00130611924342105,0.00216938229166667,0.000604103462837835,-0.000693374785958905,-0.00747196354166666,-0.00151824141725352,-0.000245162946428571,11,3,7,7,4,2,0,3,5,0,0,3,8,3,10,14,"0",-0.0154098299050633,0.00637976762820513,-0.0010601258116883,-0.0403602796052631,0.0593315625,0.0170623733108108,-0.0246114511986301,0.0706612847222222,-0.0414315360915493,0.0741801339285714,-7.74070411392405,2.26722756410256,3.34679383116883,10.9366776315789,-20.1727083333333,2.71494932432432,3.84610445205479,2.68402777777778,-31.7731073943662,18.8995535714286,-0.000521748615506328,0.00107623357371795,0.00044486140422078,0.000140443256578947,0.002184240625,2.70595439189193e-05,0.00186178788527397,0.000654581597222222,0.000201943441901409,-0.000582716517857142,-0.00197634988132911,0.00119966947115385,-0.00201154119318182,-0.000851254111842105,0.00180322395833333,0.00214887035472973,-0.000547212114726025,0.000382595486111107,-0.00107769036091549,0.00187744419642857,11,4,3,10,8,1,0,9,3,2,3,4,6,2,8,6,"0"
"6",6,0.00499206882911394,-0.0760577323717948,-0.0564546063311689,-0.0513076480263158,-0.0291951041666667,0.0277059543918919,0.111539233732877,0.0334286458333333,0.0117216329225352,-0.0751127232142857,-0.0427709651898734,8.54316907051282,-11.7258015422078,-0.196751644736842,10.3205729166667,-11.7562288851351,4.52445419520548,-4.64366319444444,7.08929357394366,-11.1237723214286,8.01184731012657e-05,0.00248230729166667,-0.00135979768668831,-0.00224213898026316,-0.001424059375,-0.001912484375,0.000645709118150685,0.000902289930555555,0.00243784132922535,0.000923819196428571,-0.000797306962025318,-0.00413294230769231,-0.00322950324675325,-0.000126631578947368,0.00223945,0.00281211486486487,0.00209985273972603,-0.00025698611111111,-0.00324098943661972,0.00326039285714286,4,9,5,3,6,4,1,8,6,5,10,5,2,5,4,3,"0",-0.0274174248417721,0.0226913060897436,-0.0144698660714286,-0.00695106907894736,-0.0218734375,-0.00543391047297296,-0.118201519691781,-0.0791710069444444,0.050395576584507,-0.0140502232142857,-13.6088310917722,1.35006009615385,2.23077313311688,-25.8817845394737,13.0768229166667,-10.9167018581081,2.79543022260274,16.0559895833333,-20.8873789612676,-1.91484375,-0.00235012737341772,-0.000309745192307692,-0.000747469967532468,0.000622233552631579,0.000214329166666666,-0.000715782094594595,-0.000491375856164383,0.00100714583333333,-0.00219578257042254,0.000258669642857143,-0.00339943848892405,-0.00147647475961539,-0.000930495738636363,-0.00867541200657895,0.00213225729166667,0.00148052238175675,-0.00291055800513699,0.00298893923611111,0.00387292935739436,-0.00335693080357143,4,5,7,4,10,6,2,4,5,2,4,5,5,2,12,3,"0"
"7",7,-0.00867644382911394,0.00445829326923076,-0.0139651582792208,-0.0590691611842105,0.0610690625,-0.0116369510135135,0.00741166523972605,-0.0782744791666667,-0.00224931778169013,0.0316069196428571,-2.18670886075949,-9.93589743589744,-14.5292207792208,-5.71052631578947,15.43,-2.79054054054054,8.47602739726027,-10.3680555555556,-16.8274647887324,-9.23571428571429,-0.00115832298259494,-0.000625961939102564,5.78727678571427e-05,0.000349587993421052,-0.000446117708333334,0.000636924408783784,-0.000242330265410959,-0.00224871701388889,0.000822603653169014,-0.000767395089285714,-0.00175462737341772,-0.000382033653846153,-0.0029034310064935,-0.000850851973684209,0.0031961625,0.00146603547297297,0.00103227482876712,-0.00306565277777777,-0.00104545862676056,-0.0016836875,8,3,9,8,2,1,1,4,8,2,1,6,10,6,3,8,"0",0.0549367088607595,0.00974358974358973,-0.0119480519480519,-0.0293421052631579,0.0373333333333333,-0.0236486486486486,0.043972602739726,0.0470833333333333,-0.00197183098591548,0.0687142857142857,-18.1273912183544,-0.758689903846151,2.67932832792207,2.83150493421052,18.9210729166667,-15.1055194256757,15.2854815924657,-3.51126736111112,-3.17553036971831,14.6656919642857,0.00200490011867089,-0.000416436298076924,0.000422306209415585,-0.00183883634868421,-0.00243227604166667,0.000544140624999999,-0.000629147046232877,-0.00110863715277778,-0.000295119938380281,-0.00115469866071429,-0.00108795015822785,0.00440040224358974,-0.00406989204545455,0.000305233552631578,0.00128502916666667,-0.000665146959459459,0.000468987157534244,0.000644277777777776,-0.00247038820422535,-0.00355754464285714,11,3,11,8,6,2,0,4,4,3,5,3,4,3,6,7,"0"
"8",8,0.0230142207278481,0.0594566907051282,0.0580177962662338,0.102983470394737,-0.00392177083333331,0.0157701435810811,0.0477601241438356,0.00897031249999997,-0.0510723811619718,-0.0447948660714285,3.06165941455696,9.08002804487179,7.10861404220779,10.4446957236842,22.0880729166667,-7.18528293918919,-6.93616224315068,5.04296875,4.28119498239437,5.26908482142857,0.000206353639240506,-0.00153863621794872,-0.000302716720779221,0.00062760197368421,-0.00212257083333333,0.0002780625,0.0021405625,-0.00328794444444444,-3.08459507042255e-05,0.000998205357142857,-0.00143791950158228,0.00196522395833333,-0.0035545541801948,0.000953288651315791,0.00705690729166666,0.00235442440878378,0.00352617144691781,0.00580223784722222,-0.00184557416373239,-0.00738619866071428,9,1,6,3,10,3,0,7,3,5,4,2,4,7,2,14,"0",0.0308341574367089,-0.0191676682692308,-0.0773675933441558,-0.00458264802631579,0.0376848958333333,-0.027933910472973,0.0373549871575342,0.0273394097222222,-0.000431888204225361,-0.0237198660714286,12.8935443037975,6.19589743589743,13.3645454545455,0.00736842105262838,-16.7633333333333,-14.8197297297297,-4.14753424657535,-18.9136111111111,-20.7674647887324,-5.75,7.05696202531646e-05,-0.000287179487179487,0.00039448051948052,-0.000160526315789473,0.000397666666666667,0.000363513513513513,-8.45890410958907e-05,0.00205416666666667,0.000684859154929578,-0.002695,-0.00577517800632912,-0.000675360576923077,-0.00836986607142857,-0.00284514802631579,0.00245822916666667,0.00345358952702703,-0.00168217037671233,-0.00344045138888889,-0.000980127640845077,0.00256584821428572,5,7,6,6,6,5,3,7,2,5,7,1,4,3,7,6,"0"
"9",9,-0.0519622033227848,0.102058934294872,-0.0207424310064935,-0.0382244243421053,-0.00155927083333332,-0.0817342483108108,0.0103668022260274,-0.0560814236111111,0.106352090669014,-0.0619109375,-20.1782357594937,15.1242147435897,3.17965097402597,-8.70292763157895,5.729625,-2.9720777027027,-10.3149229452055,-0.652013888888889,12.0017517605634,8.33526785714285,-0.000928817246835443,0.00037255608974359,-0.00110931412337662,0.00140205592105263,0.00232172916666667,-0.000698606418918918,-0.0016373073630137,-0.00195763888888889,0.00169275968309859,-7.00892857142818e-06,-0.00383710443037975,0.000540224358974358,0.0016338474025974,-0.00374407894736842,-0.00234608333333334,0.00104915540540541,-0.00285470890410959,-0.00120034722222222,0.00399674295774648,-0.00173196428571428,6,7,7,4,7,2,1,4,8,0,10,7,1,2,11,3,"0",0.0860385878164557,0.0400044471153846,-0.0303763595779221,0.0295880756578947,-0.0427717708333333,0.0186491976351351,-0.0707539169520548,-0.0494078125,-0.0299163952464789,-0.0265823660714286,-21.1031962025316,16.078782051282,-12.2624350649351,18.7432894736842,-19.4035,12.8193918918919,-24.3714726027397,0.921250000000002,-11.7594718309859,0.148214285714287,0.0015989746835443,0.00133138461538462,7.94415584415589e-05,-0.0010315,0.000576733333333334,-0.00374332432432432,0.000452095890410959,-0.00233038888888889,-0.00036956338028169,0.000462714285714286,0.00166881012658228,0.00367451282051282,-0.00257677922077922,-0.00501126315789473,-0.00456986666666667,-0.003376,-0.00335216438356165,-0.00144766666666666,-0.0017729014084507,-0.000282857142857143,5,5,4,2,6,6,1,5,5,4,3,3,7,9,7,8,"0"
"10",10,0.089312480221519,0.0526538060897436,0.0388091923701299,0.0123568256578948,0.0481390625,-0.0684764780405406,-0.0784718964041096,-0.0356147569444444,-0.024242275528169,-0.0582073660714286,-0.380450949367089,9.74504807692308,10.9517288961039,-11.8595065789474,-1.375375,-12.204847972973,-7.24334760273973,-15.9353472222222,-4.46550176056338,8.51026785714285,0.00264082278481013,-0.000635897435897436,0.00252305194805195,0.00406842105263158,0.00113166666666667,-0.00185067567567568,0.000466095890410959,-0.000880555555555555,-0.000983450704225352,-0.00208,0.00455291060126582,0.00866003044871795,0.0066426599025974,-0.00513592434210526,0.00168762916666667,-0.00236463344594595,-0.000477026541095889,0.000781659722222223,-0.00412733186619718,-3.33035714285686e-06,7,4,8,0,11,9,2,6,3,7,5,6,3,3,5,1,"0",0.105268275316456,-0.0809661858974359,0.00904975649350651,0.149319407894737,0.05580625,-0.0589809121621621,-0.067152654109589,-0.0284680555555555,-0.0212641725352113,-0.101604464285714,-1.19215981012658,-34.8620032051282,-0.375868506493508,23.4819407894737,-17.972375,-7.54910472972973,4.74124143835616,15.9424305555556,6.18520246478873,-33.0583035714286,-0.000586531645569621,-1.27179487179489e-05,-0.00118296103896104,0.0029431052631579,-0.000447466666666667,0.00108437837837838,0.000199287671232876,0.000967388888888889,0.000341633802816901,-0.001262,-0.00405589873417722,-0.0023465641025641,-0.00334997402597403,0.00840152631578948,-0.0034704,0.00195897297297297,-0.00507194520547945,1.71111111111152e-05,0.00215881690140845,0.00474485714285715,2,3,7,6,4,5,5,10,5,4,8,1,5,6,4,5,"0"
