"","num","UTR5.x","Start_codons.x","TSS.x","TSS_A.x","exon_stop.x","alternative_exon.x","constitutive_exon.x","internal_exon.x","long_exon.x","last_exon.x","last_exon_400bp.x","intron.x","pos_UTR5.x","pos_exons.x","dist_sj_5_p2000.x","dist_sj_3_p2000.x","length_gene_ex.x","length_gene_full.x","length_tx_full.x","clust_DRACH_f1000.x","clust_DRACH_f100.x","dist_DRACH_p2000.x","dist_DRACH_p200.x","PC_1bp.x","PC_101bp.x","FC_1bp.x","FC_101bp.x","struct_loop.x","miR_targeted_genes.x","METTL3_TREW.x","METTL14_TREW.x","WTAP_TREW.x","FTO_eCLIP.x","isoform_num.x","exon_num.x","HK_genes.x","GC_cont_genes.x","GC_cont_101bp.x","GC_cont_101bp_abs.x","GC_cont_101bp_abs.1.x","X1.x","X2.x","X3.x","X4.x","X5.x","X6.x","X7.x","X8.x","X9.x","X10.x","X11.x","X12.x","X13.x","X14.x","X15.x","X16.x","X17.x","X18.x","X19.x","X20.x","X21.x","X22.x","X23.x","X24.x","X25.x","X26.x","X27.x","X28.x","X29.x","X30.x","X31.x","X32.x","X33.x","X34.x","X35.x","X36.x","X37.x","X38.x","X39.x","X40.x","X41.x","X42.x","X43.x","X44.x","X45.x","X46.x","X47.x","X48.x","X49.x","X50.x","X51.x","X52.x","X53.x","X54.x","X55.x","X56.x","X57.x","X58.x","X59.x","X60.x","X61.x","X62.x","X63.x","X64.x","X65.x","class.x","UTR5.y","Start_codons.y","TSS.y","TSS_A.y","exon_stop.y","alternative_exon.y","constitutive_exon.y","internal_exon.y","long_exon.y","last_exon.y","last_exon_400bp.y","intron.y","pos_UTR5.y","pos_exons.y","dist_sj_5_p2000.y","dist_sj_3_p2000.y","length_gene_ex.y","length_gene_full.y","length_tx_full.y","clust_DRACH_f1000.y","clust_DRACH_f100.y","dist_DRACH_p2000.y","dist_DRACH_p200.y","PC_1bp.y","PC_101bp.y","FC_1bp.y","FC_101bp.y","struct_loop.y","miR_targeted_genes.y","METTL3_TREW.y","METTL14_TREW.y","WTAP_TREW.y","FTO_eCLIP.y","isoform_num.y","exon_num.y","HK_genes.y","GC_cont_genes.y","GC_cont_101bp.y","GC_cont_101bp_abs.y","GC_cont_101bp_abs.1.y","X1.y","X2.y","X3.y","X4.y","X5.y","X6.y","X7.y","X8.y","X9.y","X10.y","X11.y","X12.y","X13.y","X14.y","X15.y","X16.y","X17.y","X18.y","X19.y","X20.y","X21.y","X22.y","X23.y","X24.y","X25.y","X26.y","X27.y","X28.y","X29.y","X30.y","X31.y","X32.y","X33.y","X34.y","X35.y","X36.y","X37.y","X38.y","X39.y","X40.y","X41.y","X42.y","X43.y","X44.y","X45.y","X46.y","X47.y","X48.y","X49.y","X50.y","X51.y","X52.y","X53.y","X54.y","X55.y","X56.y","X57.y","X58.y","X59.y","X60.y","X61.y","X62.y","X63.y","X64.y","X65.y","class.y"
"1",1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.510459381663271,0.430665219708037,-0.693700908392313,0.595962765862561,-0.459472269102581,-0.236347291345711,-0.250217263857135,-1.60715855954673,-1.60344559780621,1.57723760200724,1.98704256611907,-0.688134540107199,0.26485439684355,-0.437327751362245,-0.55158407933504,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,-0.682046584889577,1.29623069377381,TRUE,-0.587000384938775,1.25500131553769,1.25500131553769,1.25500131553769,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,"Neg",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.736862481785971,1.74791261189371,-1.14927168014091,0.595962765862561,-0.916054098344651,-0.477279592759317,-0.49070473480615,-1.10090361328951,-0.639848720269252,-0.391023164570149,-0.447455166932069,1.20075171514951,-0.677206845139448,-0.437327751362245,-0.55158407933504,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.443367496252337,0.840139282614677,TRUE,1.56330785477488,1.25500131553769,1.25500131553769,1.25500131553769,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,"Neg"
"2",2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.740471205086728,-0.754502312881858,-0.232334070845392,0.595962765862561,0.321471544394198,-0.370714194554417,-0.384336087038259,-0.59464866703229,0.323748157267709,-0.262658331967276,-0.288683575646125,1.4368624970566,0.0453449812358612,-0.437327751362245,-0.556258143601244,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,-0.306908557842272,-0.680165421249115,FALSE,-0.566325862026356,0.96166973583557,0.96166973583557,0.96166973583557,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,"Neg",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,-0.740471205086728,0.613213070112829,1.0462780442658,-1.77320631728577,-1.05902087654527,-0.542991473207256,-0.556295292184757,-0.932151964537104,-0.639848720269252,-0.412417303337295,-0.47391709881306,-0.688134540107199,-0.701596780206969,1.03728273833995,1.10069763876808,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.05718461193688,0.0799869306827808,TRUE,1.17798130882166,-0.211656582972888,0.211656582972888,0.211656582972888,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,"Neg"
"3",3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.467752539447645,1.9709543392571,-1.21998368288051,0.595962765862561,-0.450679323746279,-0.511410753899318,-0.524772879986157,-1.52278273517053,0.323748157267709,-0.690541107310186,-0.817922213265939,-0.688134540107199,0.173392140340346,-0.437327751362245,-0.55158407933504,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.443367496252337,0.536078341841918,FALSE,-1.84580617110254,0.668338156133455,0.668338156133455,0.668338156133455,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,"Neg",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.69268626942053,1.83879061070354,-1.13536112222492,0.595962765862561,-0.673759604082097,-0.499144142107693,-0.516536337945978,-0.510272842656087,0.805546596036189,-0.583570413474458,-0.685612553860985,1.67297327896369,0.00266259486769922,-0.437327751362245,-0.55158407933504,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.443367496252337,0.384047871455539,TRUE,0.172411886264085,1.5483328952398,1.5483328952398,1.5483328952398,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"Neg"
"4",4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1.15589751633932,1.4853011592217,-1.05653462736766,0.595962765862561,0.209117242619224,-0.483410787362222,-0.49682460945682,-1.60715855954673,-0.639848720269252,0.272195137211361,0.372864721378642,-0.688134540107199,-0.46684365518208,-0.437327751362245,-0.55158407933504,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,-1.05718461193688,0.23201740106916,FALSE,-0.192713675026088,1.32833421046321,1.32833421046321,1.32833421046321,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,"Neg",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.893429628012933,0.0884602927288685,0.123544369171957,-1.56036687129827,0.738647951854321,-0.364730790455025,-0.485739185685749,1.6834985911252,-0.639848720269252,-0.284052470734422,-0.315145507527116,-0.688134540107199,-0.107092112936145,3.98650371774434,4.30710572538404,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1.56878157739425,1.60029163454657,FALSE,0.417695166043706,-0.284989477898417,0.284989477898417,0.284989477898417,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,"Neg"
"5",5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.446590261355543,0.176905674180135,-0.859468390224498,0.595962765862561,-0.734984556933388,-0.44696564919578,-0.461112696292128,-1.10090361328951,-0.158050281500771,0.742866190088561,0.955027222760437,1.67297327896369,1.83190772493177,-0.437327751362245,-0.556258143601244,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.682046584889577,-0.0720435397035983,FALSE,1.23347767801451,0.595005261207927,0.595005261207927,0.595005261207927,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,"Neg",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.902090591501997,0.681940849539331,-1.1562269590989,0.595962765862561,-0.887069945133136,-0.422394422340198,-0.435920898229415,-1.35403108641812,-0.639848720269252,0.250800998444215,0.346402789497651,-0.688134540107199,-0.747327908458571,-0.437327751362245,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.682046584889577,1.90435257531933,FALSE,1.89291386094992,1.47500000031427,1.47500000031427,1.47500000031427,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,"Neg"
"6",6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.740471205086728,-0.754502312881858,-0.457221423820524,0.595962765862561,0,0,0,-1.43840691079432,-2.08524403657469,4.27289908666757,4.42154029917022,0.964640933242425,-0.661963135722248,-0.367108204233569,-0.472903997520606,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-1.43232263898419,-0.680165421249115,FALSE,0.274670981179812,1.0350026307611,1.0350026307611,1.0350026307611,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,"Neg",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1.48809239364633,1.60611480105031,-1.1898441407292,0.595962765862561,-1.11405820118287,-0.403734815625159,-0.417295742526031,-0.8477761401609,0.323748157267709,-0.66914696854304,-0.791460281384948,-0.688134540107199,-0.442453720114559,-0.437327751362245,-0.251664955586949,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-0.306908557842272,0.688108812228297,TRUE,-0.333788829137257,0.521672366282399,0.521672366282399,0.521672366282399,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"Neg"
"7",7,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1.62576427619355,2.406781866964,-1.26055614346881,0.595962765862561,-1.38435985472846,-0.551998248749954,-0.565285438624068,-1.60715855954673,-0.639848720269252,0.849836883924289,1.08733688216539,-0.688134540107199,0.185587107874107,-0.437327751362245,-0.55158407933504,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.05718461193688,0.0799869306827808,FALSE,1.69882895002354,0.888336840910042,0.888336840910042,0.888336840910042,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,"Neg",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.740471205086728,-0.754502312881858,0.602299404113862,0.595962765862561,0,0,0,-1.35403108641812,-2.08524403657469,3.3957393972146,4.23630677600328,-0.215912976293021,0.00266259486769939,0.756404549825247,0.785977311510343,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,-1.43232263898419,-0.680165421249115,FALSE,0.274670981179812,0.375006576431341,0.375006576431341,0.375006576431341,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,"Neg"
"8",8,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.271392647306605,0.815324857478441,-0.956842295636411,0.595962765862561,2.60828866631846,-0.383272164767254,-0.396950952623285,-1.10090361328951,-0.639848720269252,-0.112899360597258,-0.10345005247919,-0.688134540107199,-0.259529207108151,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.682046584889577,0.536078341841918,TRUE,-2.09988014769651,1.69499868509086,1.69499868509086,1.69499868509086,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,"Neg",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,-0.740471205086728,-0.427621693505682,1.0462780442658,0.595962765862561,-0.255280538050671,-0.344019007034055,-0.357690186527557,-0.59464866703229,1.76914347357315,-0.604964552241604,-0.712074485741976,1.4368624970566,-0.165018208721507,-0.437327751362245,-0.55158407933504,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,-0.306908557842272,0.0799869306827808,FALSE,0.773367487607032,1.25500131553769,1.25500131553769,1.25500131553769,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,"Neg"
"9",9,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2.04154326637529,0.00808001305056712,-0.718044384745291,-1.89026801257889,-0.2406256291235,-0.498151834441245,-0.511559514263118,0.502237049858353,0.323748157267709,0.614501357485688,0.796255631474493,1.67297327896369,0.655093357923886,1.03728273833995,2.15469913079709,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,-0.682046584889577,-0.224074010089977,FALSE,-1.24045550154236,-1.23831711193029,1.23831711193029,1.23831711193029,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,"Neg",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.842424313502439,1.90695852055976,-1.09131102215762,0.595962765862561,-0.638262158014062,-0.274599696240832,-0.288399043788558,-1.18527943766571,-1.12164715903773,0.421954108581379,0.558098244545577,-0.688134540107199,0.240464461776029,-0.437327751362245,-0.55158407933504,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.682046584889577,0.536078341841918,TRUE,-0.296781099828663,1.69499868509086,1.69499868509086,1.69499868509086,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,"Neg"
"10",10,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.62013558671152,0.725750388631834,-0.960319935115408,-1.80513223418389,0.638668906506735,-0.374962115883978,-0.389239994859234,1.09286782049178,2.25094191234163,-0.241264193200131,-0.262221643765134,1.67297327896369,2.13373317139235,0.756404549825247,0.785977311510343,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,-0.306908557842272,1.44826116416019,FALSE,-1.24768246192651,-1.45831579670688,1.45831579670688,1.45831579670688,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,"Neg",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.990565817079375,0.523055492808277,-1.12145056430893,0.595962765862561,-0.905307165131393,-0.443574912786598,-0.457062283386278,-0.932151964537104,-1.12164715903773,0.400559969814234,0.531636312664586,-0.688134540107199,-0.793059036710173,-0.437327751362245,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-1.05718461193688,0.23201740106916,TRUE,-1.502218238001,1.0350026307611,1.0350026307611,1.0350026307611,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,"Neg"
